user_id,app_id,campaign_id,trial_start_date,trial_end_date,status,total_revenue_usd
10000,101,202,2026-03-02,2026-04-01,Trial_Expired,0.0
10001,104,201,2026-01-24,2026-02-23,Trial_Expired,0.0
10002,101,201,2026-03-05,2026-04-04,Trial_Expired,0.0
10002,103,201,2026-03-17,2026-04-16,Trial_Expired,0.0
10002,105,203,2026-03-30,2026-04-29,Active,29.97
10003,101,203,2026-03-03,2026-04-02,Trial_Expired,0.0
10004,102,201,2026-02-20,2026-03-22,Trial_Expired,0.0
10005,105,204,2026-01-09,2026-02-08,Active,19.98
10006,105,204,2026-02-16,2026-03-18,Active,9.99
10007,101,202,2026-02-23,2026-03-25,Trial_Expired,0.0
10008,101,203,2026-03-03,2026-04-02,Trial_Expired,0.0
10009,105,202,2026-03-26,2026-04-25,Trial_Expired,0.0
10009,103,201,2026-02-22,2026-03-24,Trial_Expired,0.0
10009,102,201,2026-03-01,2026-03-31,Trial_Expired,0.0
10010,102,204,2026-01-09,2026-02-08,Trial_Expired,0.0
10011,104,203,2026-02-04,2026-03-06,Trial_Expired,0.0
10012,105,201,2026-03-13,2026-04-12,Trial_Expired,0.0
10013,104,201,2026-02-04,2026-03-06,Trial_Expired,0.0
10014,105,201,2026-01-14,2026-02-13,Trial_Expired,0.0
10014,102,202,2026-03-20,2026-04-19,Trial_Expired,0.0
10014,104,203,2026-03-18,2026-04-17,Active,39.96
10015,103,203,2026-01-23,2026-02-22,Trial_Expired,0.0
10016,102,202,2026-03-27,2026-04-26,Trial_Expired,0.0
10016,105,202,2026-02-14,2026-03-16,Active,9.99
10017,101,204,2026-03-16,2026-04-15,Active,29.97
10018,102,201,2026-03-03,2026-04-02,Active,9.99
10019,105,203,2026-02-20,2026-03-22,Active,39.96
10020,103,202,2026-02-27,2026-03-29,Trial_Expired,0.0
10021,102,202,2026-02-25,2026-03-27,Active,9.99
10021,105,203,2026-01-02,2026-02-01,Trial_Expired,0.0
10022,104,202,2026-01-02,2026-02-01,Trial_Expired,0.0
10023,101,204,2026-01-17,2026-02-16,Trial_Expired,0.0
10023,102,202,2026-03-10,2026-04-09,Trial_Expired,0.0
10023,105,204,2026-03-27,2026-04-26,Trial_Expired,0.0
10024,105,204,2026-03-21,2026-04-20,Active,39.96
10024,102,203,2026-02-28,2026-03-30,Active,19.98
10025,101,203,2026-02-02,2026-03-04,Trial_Expired,0.0
10025,102,203,2026-03-23,2026-04-22,Trial_Expired,0.0
10026,104,204,2026-02-11,2026-03-13,Active,39.96
10027,103,201,2026-01-01,2026-01-31,Active,39.96
10027,102,203,2026-02-06,2026-03-08,Trial_Expired,0.0
10028,101,201,2026-01-24,2026-02-23,Trial_Expired,0.0
10029,104,204,2026-03-25,2026-04-24,Trial_Expired,0.0
10029,105,201,2026-03-30,2026-04-29,Trial_Expired,0.0
10030,103,204,2026-03-21,2026-04-20,Trial_Expired,0.0
10031,103,204,2026-01-20,2026-02-19,Trial_Expired,0.0
10031,104,204,2026-01-07,2026-02-06,Trial_Expired,0.0
10032,101,202,2026-01-22,2026-02-21,Active,19.98
10033,104,203,2026-01-30,2026-03-01,Trial_Expired,0.0
10034,103,204,2026-01-19,2026-02-18,Trial_Expired,0.0
10035,103,203,2026-02-15,2026-03-17,Trial_Expired,0.0
10035,105,201,2026-02-06,2026-03-08,Trial_Expired,0.0
10036,105,203,2026-03-04,2026-04-03,Active,39.96
10037,105,204,2026-02-23,2026-03-25,Trial_Expired,0.0
10038,101,202,2026-01-23,2026-02-22,Active,29.97
10039,102,203,2026-02-12,2026-03-14,Trial_Expired,0.0
10039,103,203,2026-02-11,2026-03-13,Trial_Expired,0.0
10040,103,204,2026-02-26,2026-03-28,Trial_Expired,0.0
10041,102,203,2026-03-07,2026-04-06,Trial_Expired,0.0
10041,101,203,2026-03-27,2026-04-26,Active,19.98
10042,103,202,2026-02-21,2026-03-23,Active,29.97
10042,101,201,2026-03-01,2026-03-31,Active,39.96
10042,104,203,2026-03-01,2026-03-31,Active,9.99
10043,103,201,2026-02-24,2026-03-26,Active,39.96
10044,104,202,2026-03-04,2026-04-03,Trial_Expired,0.0
10044,101,201,2026-02-24,2026-03-26,Active,19.98
10044,103,201,2026-03-03,2026-04-02,Trial_Expired,0.0
10045,103,204,2026-02-03,2026-03-05,Active,19.98
10045,105,201,2026-03-30,2026-04-29,Trial_Expired,0.0
10046,102,203,2026-01-22,2026-02-21,Trial_Expired,0.0
10046,101,203,2026-03-17,2026-04-16,Trial_Expired,0.0
10047,104,202,2026-03-10,2026-04-09,Active,19.98
10047,103,204,2026-03-03,2026-04-02,Trial_Expired,0.0
10048,105,201,2026-02-02,2026-03-04,Trial_Expired,0.0
10049,103,202,2026-02-03,2026-03-05,Active,19.98
10050,102,204,2026-01-04,2026-02-03,Trial_Expired,0.0
10050,103,204,2026-01-02,2026-02-01,Active,39.96
10050,105,202,2026-03-25,2026-04-24,Trial_Expired,0.0
10051,102,203,2026-02-12,2026-03-14,Trial_Expired,0.0
10052,105,201,2026-01-12,2026-02-11,Active,19.98
10052,104,204,2026-02-04,2026-03-06,Active,19.98
10053,101,202,2026-01-07,2026-02-06,Active,9.99
10054,102,204,2026-02-05,2026-03-07,Active,9.99
10054,103,203,2026-03-05,2026-04-04,Trial_Expired,0.0
10055,104,204,2026-01-24,2026-02-23,Trial_Expired,0.0
10056,102,201,2026-03-30,2026-04-29,Active,19.98
10056,104,201,2026-03-03,2026-04-02,Trial_Expired,0.0
10057,104,203,2026-01-12,2026-02-11,Trial_Expired,0.0
10058,101,203,2026-02-21,2026-03-23,Trial_Expired,0.0
10059,104,203,2026-03-26,2026-04-25,Trial_Expired,0.0
10060,104,202,2026-02-08,2026-03-10,Trial_Expired,0.0
10060,103,201,2026-01-05,2026-02-04,Trial_Expired,0.0
10061,104,201,2026-02-27,2026-03-29,Trial_Expired,0.0
10062,103,202,2026-02-19,2026-03-21,Trial_Expired,0.0
10062,101,202,2026-01-05,2026-02-04,Trial_Expired,0.0
10063,104,201,2026-01-17,2026-02-16,Trial_Expired,0.0
10063,103,202,2026-02-14,2026-03-16,Trial_Expired,0.0
10063,102,204,2026-01-31,2026-03-02,Trial_Expired,0.0
