user_id,signup_date,country,signup_channel
USR_000001,2025-04-13,US,Organic App Store Search
USR_000002,2025-04-17,US,Organic App Store Search
USR_000003,2025-03-13,US,Apple Search Ads
USR_000004,2025-07-08,US,Organic App Store Search
USR_000005,2025-01-21,UK,Apple Search Ads
USR_000006,2025-04-13,CA,Social Media Campaign
USR_000007,2025-05-02,US,Organic App Store Search
USR_000008,2025-08-03,AU,Apple Search Ads
USR_000009,2025-03-29,US,Web Referral
USR_000010,2025-04-10,DE,Apple Search Ads
USR_000011,2025-06-01,UK,Organic App Store Search
USR_000012,2025-05-11,UK,Organic App Store Search
USR_000013,2025-05-30,US,Apple Search Ads
USR_000014,2025-09-15,US,Organic App Store Search
USR_000015,2025-07-11,UK,Apple Search Ads
USR_000016,2025-06-10,CA,Web Referral
USR_000017,2025-01-22,US,Apple Search Ads
USR_000018,2025-09-10,JP,Organic App Store Search
USR_000019,2025-08-24,JP,Organic App Store Search
USR_000020,2025-02-18,UK,Web Referral
USR_000021,2025-02-28,JP,Social Media Campaign
USR_000022,2025-06-19,US,Organic App Store Search
USR_000023,2025-07-07,US,Organic App Store Search
USR_000024,2025-07-09,US,Apple Search Ads
USR_000025,2025-06-24,UK,Organic App Store Search
USR_000026,2025-02-20,US,Organic App Store Search
USR_000027,2025-02-24,JP,Organic App Store Search
USR_000028,2025-09-01,US,Organic App Store Search
USR_000029,2025-05-11,US,Organic App Store Search
USR_000030,2025-05-15,DE,Organic App Store Search
USR_000031,2025-01-21,US,Organic App Store Search
USR_000032,2025-06-16,US,Apple Search Ads
USR_000033,2025-03-30,CA,Apple Search Ads
USR_000034,2025-01-14,US,Organic App Store Search
USR_000035,2025-08-30,US,Web Referral
USR_000036,2025-09-22,US,Organic App Store Search
USR_000037,2025-02-22,UK,Organic App Store Search
USR_000038,2025-04-02,JP,Organic App Store Search
USR_000039,2025-09-21,DE,Apple Search Ads
USR_000040,2025-02-04,US,Organic App Store Search
USR_000041,2025-07-25,US,Organic App Store Search
USR_000042,2025-03-22,UK,Apple Search Ads
USR_000043,2025-02-19,JP,Apple Search Ads
USR_000044,2025-01-02,US,Social Media Campaign
USR_000045,2025-02-23,US,Social Media Campaign
USR_000046,2025-04-16,AU,Web Referral
USR_000047,2025-09-17,JP,Organic App Store Search
USR_000048,2025-07-10,US,Organic App Store Search
USR_000049,2025-08-06,US,Web Referral
USR_000050,2025-02-13,US,Apple Search Ads
USR_000051,2025-06-11,US,Apple Search Ads
USR_000052,2025-07-21,CA,Organic App Store Search
USR_000053,2025-09-27,CA,Organic App Store Search
USR_000054,2025-08-03,CA,Organic App Store Search
USR_000055,2025-09-09,US,Organic App Store Search
USR_000056,2025-07-09,US,Organic App Store Search
USR_000057,2025-08-01,US,Organic App Store Search
USR_000058,2025-07-27,US,Apple Search Ads
USR_000059,2025-08-25,DE,Organic App Store Search
USR_000060,2025-02-22,US,Organic App Store Search
USR_000061,2025-08-05,US,Organic App Store Search
USR_000062,2025-09-09,US,Organic App Store Search
USR_000063,2025-07-07,US,Organic App Store Search
USR_000064,2025-02-10,UK,Organic App Store Search
USR_000065,2025-06-06,DE,Organic App Store Search
USR_000066,2025-01-15,US,Apple Search Ads
USR_000067,2025-03-06,AU,Organic App Store Search
USR_000068,2025-01-09,US,Apple Search Ads
USR_000069,2025-05-09,US,Social Media Campaign
USR_000070,2025-05-16,FR,Apple Search Ads
USR_000071,2025-03-04,US,Organic App Store Search
USR_000072,2025-05-19,CA,Organic App Store Search
USR_000073,2025-03-22,US,Apple Search Ads
USR_000074,2025-06-12,UK,Web Referral
USR_000075,2025-09-18,DE,Web Referral
USR_000076,2025-08-19,FR,Organic App Store Search
USR_000077,2025-02-10,DE,Apple Search Ads
USR_000078,2025-01-28,UK,Social Media Campaign
USR_000079,2025-05-15,US,Social Media Campaign
USR_000080,2025-07-20,CA,Organic App Store Search
USR_000081,2025-09-25,AU,Organic App Store Search
USR_000082,2025-02-02,US,Organic App Store Search
USR_000083,2025-02-17,US,Organic App Store Search
USR_000084,2025-03-03,DE,Apple Search Ads
USR_000085,2025-08-04,UK,Web Referral
USR_000086,2025-04-09,US,Social Media Campaign
USR_000087,2025-06-21,FR,Organic App Store Search
USR_000088,2025-08-02,US,Apple Search Ads
USR_000089,2025-02-04,US,Organic App Store Search
USR_000090,2025-08-15,CA,Apple Search Ads
USR_000091,2025-04-11,US,Apple Search Ads
USR_000092,2025-05-11,AU,Organic App Store Search
USR_000093,2025-09-14,US,Organic App Store Search
USR_000094,2025-01-05,US,Organic App Store Search
USR_000095,2025-08-06,US,Organic App Store Search
USR_000096,2025-09-12,JP,Social Media Campaign
USR_000097,2025-07-26,US,Organic App Store Search
USR_000098,2025-01-15,US,Organic App Store Search
USR_000099,2025-02-11,US,Organic App Store Search
USR_000100,2025-06-28,US,Social Media Campaign
USR_000101,2025-03-04,US,Organic App Store Search
USR_000102,2025-08-19,US,Organic App Store Search
USR_000103,2025-08-29,UK,Apple Search Ads
USR_000104,2025-02-21,UK,Organic App Store Search
USR_000105,2025-04-06,DE,Organic App Store Search
USR_000106,2025-08-10,CA,Apple Search Ads
USR_000107,2025-08-19,US,Organic App Store Search
USR_000108,2025-08-25,US,Social Media Campaign
USR_000109,2025-05-23,AU,Apple Search Ads
USR_000110,2025-06-20,AU,Apple Search Ads
USR_000111,2025-01-29,US,Organic App Store Search
USR_000112,2025-02-05,FR,Social Media Campaign
USR_000113,2025-01-13,US,Apple Search Ads
USR_000114,2025-06-09,US,Organic App Store Search
USR_000115,2025-07-06,US,Organic App Store Search
USR_000116,2025-08-31,FR,Organic App Store Search
USR_000117,2025-03-27,UK,Social Media Campaign
USR_000118,2025-03-07,DE,Web Referral
USR_000119,2025-06-19,US,Apple Search Ads
USR_000120,2025-02-14,UK,Apple Search Ads
USR_000121,2025-03-03,US,Organic App Store Search
USR_000122,2025-05-14,DE,Apple Search Ads
USR_000123,2025-01-28,US,Web Referral
USR_000124,2025-04-18,US,Organic App Store Search
USR_000125,2025-02-13,US,Organic App Store Search
USR_000126,2025-05-08,FR,Organic App Store Search
USR_000127,2025-08-19,UK,Organic App Store Search
USR_000128,2025-07-09,US,Apple Search Ads
USR_000129,2025-08-13,US,Web Referral
USR_000130,2025-05-01,JP,Organic App Store Search
USR_000131,2025-04-26,FR,Organic App Store Search
USR_000132,2025-08-21,AU,Organic App Store Search
USR_000133,2025-09-16,US,Web Referral
USR_000134,2025-07-17,US,Organic App Store Search
USR_000135,2025-05-17,FR,Organic App Store Search
USR_000136,2025-06-14,US,Organic App Store Search
USR_000137,2025-08-13,US,Organic App Store Search
USR_000138,2025-08-22,UK,Social Media Campaign
USR_000139,2025-06-21,FR,Organic App Store Search
USR_000140,2025-06-01,US,Apple Search Ads
USR_000141,2025-06-09,UK,Apple Search Ads
USR_000142,2025-04-06,DE,Organic App Store Search
USR_000143,2025-08-21,US,Organic App Store Search
USR_000144,2025-06-29,US,Web Referral
USR_000145,2025-04-23,JP,Apple Search Ads
USR_000146,2025-02-21,JP,Apple Search Ads
USR_000147,2025-09-25,DE,Apple Search Ads
USR_000148,2025-04-23,CA,Web Referral
USR_000149,2025-04-11,US,Organic App Store Search
USR_000150,2025-04-23,FR,Organic App Store Search
USR_000151,2025-03-22,US,Organic App Store Search
USR_000152,2025-07-06,DE,Organic App Store Search
USR_000153,2025-04-23,FR,Organic App Store Search
USR_000154,2025-01-02,CA,Web Referral
USR_000155,2025-05-10,DE,Social Media Campaign
USR_000156,2025-08-08,DE,Organic App Store Search
USR_000157,2025-02-23,US,Organic App Store Search
USR_000158,2025-08-12,CA,Organic App Store Search
USR_000159,2025-08-13,US,Social Media Campaign
USR_000160,2025-05-06,UK,Organic App Store Search
USR_000161,2025-05-10,US,Apple Search Ads
USR_000162,2025-02-22,US,Web Referral
USR_000163,2025-06-21,DE,Organic App Store Search
USR_000164,2025-08-06,JP,Social Media Campaign
USR_000165,2025-06-09,US,Organic App Store Search
USR_000166,2025-07-17,UK,Apple Search Ads
